Province,Tumbol,solar_energy,total,plowing(All),spray_fertilizer,pumping_water,MAY,JUN,JUL,AUG
Bangkok,Pak Khlong PhasiCharoen,18.03,1757,1280,432,45,19.1452,18.2687,17.4806,17.2238
Bangkok,Khuha Sawan,17.99,1757,1280,432,45,19.0884,18.3227,17.3862,17.1816
Bangkok,Nong Khaem,18.13,1757,1280,432,45,19.2923,18.3704,17.5371,17.3373
Bangkok,Nong Khang Phlu,18.05,1757,1280,432,45,19.0999,18.3733,17.4887,17.2189
Bangkok,RatBurana,18.28,1757,1280,432,45,19.3045,18.6427,17.756,17.4328
Bangkok,Bang Pa Kok,18.14,1757,1280,432,45,19.1862,18.4938,17.6121,17.2648
Bangkok,BangPhlat,17.75,1757,1280,432,45,18.722,18.0453,17.265,16.9716
Bangkok,Bang O,17.68,1757,1280,432,45,18.5425,17.9826,17.2796,16.9059
Bangkok,Bang Bam Ru,17.77,1757,1280,432,45,18.7463,18.0987,17.2762,16.9646
Bangkok,Bang Yi Khan,17.78,1757,1280,432,45,18.7681,18.1394,17.3012,16.9188
Bangkok,Dindaeng,17.55,1757,1280,432,45,18.538,17.9017,17.0236,16.734
Bangkok,Ratchadaphisek,17.52,1757,1280,432,45,18.4648,17.8343,17.0431,16.7178
Bangkok,Khlong Kum,17.43,1757,1280,432,45,18.4639,17.7625,16.8877,16.6022
Bangkok,Nawa Min,17.41,1757,1280,432,45,18.4267,17.743,16.8611,16.6027
Bangkok,NuanChan,17.37,1757,1280,432,45,18.4057,17.6948,16.8121,16.5596
Bangkok,Thung Wat Don,17.96,1757,1280,432,45,19.0747,18.2984,17.3882,17.0944
Bangkok,Yan Nawa,17.87,1757,1280,432,45,18.955,18.1986,17.2829,17.0285
Bangkok,Thung Mahamek,17.82,1757,1280,432,45,18.8603,18.1693,17.2673,16.9736
Bangkok,BangSue,17.62,1757,1280,432,45,18.498,17.9239,17.2081,16.8664
Bangkok,WongSawang,17.61,1757,1280,432,45,18.4935,17.9136,17.1825,16.8434
Bangkok,LatYao,17.43,1757,1280,432,45,18.3181,17.7655,16.9213,16.7146
Bangkok,Sena Nikhom,17.43,1757,1280,432,45,18.2917,17.7431,16.9121,16.7604
Bangkok,Chanthara Kasem,17.44,1757,1280,432,45,18.3364,17.8333,16.8878,16.7171
Bangkok,Chomphon,17.51,1757,1280,432,45,18.4631,17.8777,17.0004,16.6795
Bangkok,Chatuchak,17.56,1757,1280,432,45,18.5126,17.8473,17.0735,16.8184
Bangkok,BangKholaem,18.05,1757,1280,432,45,19.1493,18.2907,17.5261,17.2294
Bangkok,Wat Phraya Krai,17.99,1757,1280,432,45,19.14,18.2557,17.4011,17.1639
Bangkok,Bang Khon,17.99,1757,1280,432,45,19.14,18.2557,17.4011,17.1639
